NAME	ending	population
Tiszagyulaháza	háza	732
Told	other	399
Újiráz	other	559
Újléta	other	1118
Újszentmargita	other	1469
Újtikos	other	884
Váncsod	other	1219
Vekerd	other	119
Abasár	other	2467
Adács	other	2617
Aldebrő	other	695
Andornaktálya	other	2771
Apc	other	2463
Átány	other	1522
Atkár	other	1848
Balaton	other	1060
Bátor	other	361
Bekölce	other	652
Besenyőtelek	telek	2698
Boconád	other	1293
Bodony	other	731
Boldog	other	2980
Bükkszék	other	675
Bükkszenterzsébet	other	1012
Bükkszentmárton	márton	326
Csány	other	2148
Demjén	other	613
Detk	other	1170
Domoszló	other	1966
Dormánd	other	1010
Ecséd	other	3141
Egerbakta	other	1465
Egerbocs	other	545
Egercsehi	other	1348
Egerfarmos	other	692
Egerszalók	other	1930
Egerszólát	other	1098
Erdőkövesd	other	619
Erdőtelek	telek	3283
Erk	other	935
Fedémes	other	303
Feldebrő	other	995
Felsőtárkány	other	3592
Gyöngyöshalász	other	2605
Gyöngyösoroszi	other	1500
Gyöngyössolymos	other	2958
Gyöngyöstarján	other	2309
Halmajugra	other	1397
Heréd	other	1922
Hevesaranyos	other	600
Hevesvezekény	other	680
Hort	other	3601
Istenmezeje	other	1447
Ivád	other	389
Kápolna	other	1558
Karácsond	other	3006
Kerecsend	other	2453
Kerekharaszt	other	1007
Kisfüzes	other	135
Kisnána	other	1006
Kompolt	other	2038
Kömlő	other	1975
Ludas	other	759
Maklár	other	2423
Markaz	other	1726
Mátraballa	other	740
Mátraderecske	other	1852
Mátraszentimre	other	485
Mezőszemere	other	1149
Mezőtárkány	other	1601
Mikófalva	falva	703
Mónosbél	other	384
Nagyfüged	other	1753
Nagykökényes	other	590
Nagyréde	other	3281
Nagytálya	other	863
Nagyút	other	684
Nagyvisnyó	other	946
Noszvaj	other	1899
Novaj	other	1373
Ostoros	other	2724
Pálosvörösmart	other	632
Parádsasvár	vár	424
Pély	other	1480
Petőfibánya	other	2702
Poroszló	other	2865
Rózsaszentmárton	márton	1971
Sarud	other	1199
Sirok	other	1778
Szajla	other	595
Szarvaskő	other	361
Szentdomonkos	other	521
Szihalom	halom	1988
Szilvásvárad	other	1586
Szúcs	other	406
Szűcsi	other	1537
Tarnabod	other	756
Tarnalelesz	other	1725
Tarnaméra	other	1647
Tarnaörs	other	1812
Tarnaszentmária	other	236
Tarnaszentmiklós	miklós	847
Tarnazsadány	other	1302
Tenk	other	1197
Terpes	other	212
Tiszanána	other	2477
Tófalu	falu	574
Újlőrincfalva	falva	214
Vámosgyörk	other	2005
Váraszó	other	479
Vécs	other	642
Visonta	other	1245
Visznek	other	1072
Zagyvaszántó	tó	1905
Zaránk	other	439
Ácsteszér	other	677
Aka	other	250
Almásfüzitő	other	2111
Annavölgy	other	916
Ászár	other	1730
